"24-1034479-9","{'id': '45650355600080'}","Marché","Construction de 28 logements collectifs et de 8 logements individuels
 à Dunkerque
 Avenue Louis Herbeaux
 Résidence Van Eeghem: Lot 9 : Plâtrerie - Faux Plafonds - Isolation","45410000","Procédure adaptée","{'code': '59140', 'typeCode': 'Code postal'}","19.0","2024-07-18","2024-07-18","371458.0","Forfaitaire","non","2","non","Pas de CCAG","non","Pas de groupement","[{'typeIdentifiant': 'SIRET', 'id': '91487850900019'}]","{'considerationSociale': ['Pas de considération sociale']}","{'considerationEnvironnementale': ['Pas de considération environnementale']}","{'modaliteExecution': ['Sans objet']}","{'technique': ['Sans objet']}","{'typePrix': ['Définitif révisable']}","[]","Marché","sample_json","nan"
"24-AAPC24-04","{'id': '19690187000010'}","Marché","Fourniture (fabrication et livraison) des différents composants de la grille annulaire du projet CARI pour l'Ecole centrale de Lyon (Campus d'Ecully)","38425000","Procédure adaptée","{'code': '69130', 'typeCode': 'Code postal'}","7.0","2024-07-18","2024-07-18","75737.0","Unitaire","oui","1","non","Fournitures courantes et services","non","Pas de groupement","[{'typeIdentifiant': 'SIRET', 'id': '76920043700028'}]","{'considerationSociale': ['Pas de considération sociale']}","{'considerationEnvironnementale': ['Pas de considération environnementale']}","{'modaliteExecution': ['Sans objet']}","{'technique': ['Sans objet']}","{'typePrix': ['Définitif ferme']}","[]","Marché","sample_json","0.3"
"24-1034478-8","{'id': '45650355600080'}","Marché","Construction de 28 logements collectifs et de 8 logements individuels
 à Dunkerque
 Avenue Louis Herbeaux
 Résidence Van Eeghem: Lot 8 : Menuiseries intérieures","45421000","Procédure adaptée","{'code': '59140', 'typeCode': 'Code postal'}","19.0","2024-07-18","2024-07-18","112494.0","Forfaitaire","non","4","non","Pas de CCAG","non","Pas de groupement","[{'typeIdentifiant': 'SIRET', 'id': '30636923200021'}]","{'considerationSociale': ['Pas de considération sociale']}","{'considerationEnvironnementale': ['Pas de considération environnementale']}","{'modaliteExecution': ['Sans objet']}","{'technique': ['Sans objet']}","{'typePrix': ['Définitif révisable']}","[]","Marché","sample_json","nan"
"24-1034479-9","{'id': '45650355600080'}","Marché","Construction de 28 logements collectifs et de 8 logements individuels
 à Dunkerque
 Avenue Louis Herbeaux
 Résidence Van Eeghem: Lot 9 : Plâtrerie - Faux Plafonds - Isolation","45410000","Procédure adaptée","{'code': '59140', 'typeCode': 'Code postal'}","19.0","2024-07-18","2024-07-18","371458.0","Forfaitaire","non","2","non","Pas de CCAG","non","Pas de groupement","[{'typeIdentifiant': 'SIRET', 'id': '91487850900019'}]","{'considerationSociale': ['Pas de considération sociale']}","{'considerationEnvironnementale': ['Pas de considération environnementale']}","{'modaliteExecution': ['Sans objet']}","{'technique': ['Sans objet']}","{'typePrix': ['Définitif révisable']}","[]","Marché","sample_json","nan"
"24-AAPC24-04","{'id': '19690187000010'}","Marché","Fourniture (fabrication et livraison) des différents composants de la grille annulaire du projet CARI pour l'Ecole centrale de Lyon (Campus d'Ecully)","38425000","Procédure adaptée","{'code': '69130', 'typeCode': 'Code postal'}","7.0","2024-07-18","2024-07-18","75737.0","Unitaire","oui","1","non","Fournitures courantes et services","non","Pas de groupement","[{'typeIdentifiant': 'SIRET', 'id': '76920043700028'}]","{'considerationSociale': ['Pas de considération sociale']}","{'considerationEnvironnementale': ['Pas de considération environnementale']}","{'modaliteExecution': ['Sans objet']}","{'technique': ['Sans objet']}","{'typePrix': ['Définitif ferme']}","[]","Marché","sample_json","0.3"
"24-1034478-8","{'id': '45650355600080'}","Marché","Construction de 28 logements collectifs et de 8 logements individuels
 à Dunkerque
 Avenue Louis Herbeaux
 Résidence Van Eeghem: Lot 8 : Menuiseries intérieures","45421000","Procédure adaptée","{'code': '59140', 'typeCode': 'Code postal'}","19.0","2024-07-18","2024-07-18","112494.0","Forfaitaire","non","4","non","Pas de CCAG","non","Pas de groupement","[{'typeIdentifiant': 'SIRET', 'id': '30636923200021'}]","{'considerationSociale': ['Pas de considération sociale']}","{'considerationEnvironnementale': ['Pas de considération environnementale']}","{'modaliteExecution': ['Sans objet']}","{'technique': ['Sans objet']}","{'typePrix': ['Définitif révisable']}","[]","Marché","sample_json","nan"
"24-1034479-9","{'id': '45650355600080'}","Marché","Construction de 28 logements collectifs et de 8 logements individuels
 à Dunkerque
 Avenue Louis Herbeaux
 Résidence Van Eeghem: Lot 9 : Plâtrerie - Faux Plafonds - Isolation","45410000","Procédure adaptée","{'code': '59140', 'typeCode': 'Code postal'}","19.0","2024-07-18","2024-07-18","371458.0","Forfaitaire","non","2","non","Pas de CCAG","non","Pas de groupement","[{'typeIdentifiant': 'SIRET', 'id': '91487850900019'}]","{'considerationSociale': ['Pas de considération sociale']}","{'considerationEnvironnementale': ['Pas de considération environnementale']}","{'modaliteExecution': ['Sans objet']}","{'technique': ['Sans objet']}","{'typePrix': ['Définitif révisable']}","[]","Marché","sample_json","nan"
"24-AAPC24-04","{'id': '19690187000010'}","Marché","Fourniture (fabrication et livraison) des différents composants de la grille annulaire du projet CARI pour l'Ecole centrale de Lyon (Campus d'Ecully)","38425000","Procédure adaptée","{'code': '69130', 'typeCode': 'Code postal'}","7.0","2024-07-18","2024-07-18","75737.0","Unitaire","oui","1","non","Fournitures courantes et services","non","Pas de groupement","[{'typeIdentifiant': 'SIRET', 'id': '76920043700028'}]","{'considerationSociale': ['Pas de considération sociale']}","{'considerationEnvironnementale': ['Pas de considération environnementale']}","{'modaliteExecution': ['Sans objet']}","{'technique': ['Sans objet']}","{'typePrix': ['Définitif ferme']}","[]","Marché","sample_json","0.3"
"24-1034478-8","{'id': '45650355600080'}","Marché","Construction de 28 logements collectifs et de 8 logements individuels
 à Dunkerque
 Avenue Louis Herbeaux
 Résidence Van Eeghem: Lot 8 : Menuiseries intérieures","45421000","Procédure adaptée","{'code': '59140', 'typeCode': 'Code postal'}","19.0","2024-07-18","2024-07-18","112494.0","Forfaitaire","non","4","non","Pas de CCAG","non","Pas de groupement","[{'typeIdentifiant': 'SIRET', 'id': '30636923200021'}]","{'considerationSociale': ['Pas de considération sociale']}","{'considerationEnvironnementale': ['Pas de considération environnementale']}","{'modaliteExecution': ['Sans objet']}","{'technique': ['Sans objet']}","{'typePrix': ['Définitif révisable']}","[]","Marché","sample_json","nan"
"24-1034479-9","{'id': '45650355600080'}","Marché","Construction de 28 logements collectifs et de 8 logements individuels
 à Dunkerque
 Avenue Louis Herbeaux
 Résidence Van Eeghem: Lot 9 : Plâtrerie - Faux Plafonds - Isolation","45410000","Procédure adaptée","{'code': '59140', 'typeCode': 'Code postal'}","19.0","2024-07-18","2024-07-18","371458.0","Forfaitaire","non","2","non","Pas de CCAG","non","Pas de groupement","[{'typeIdentifiant': 'SIRET', 'id': '91487850900019'}]","{'considerationSociale': ['Pas de considération sociale']}","{'considerationEnvironnementale': ['Pas de considération environnementale']}","{'modaliteExecution': ['Sans objet']}","{'technique': ['Sans objet']}","{'typePrix': ['Définitif révisable']}","[]","Marché","sample_json","nan"
